Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/16/2026,"CAPITAL ONE      MOBILE PMT CA03C36EDB6FDCE WEB ID: 9279744380",-40.77,ACH_DEBIT,5378.82,,
DEBIT,03/16/2026,"CAPITAL ONE      MOBILE PMT CA08CE283F42D9C WEB ID: 9279744380",-85.69,ACH_DEBIT,5419.59,,
DEBIT,03/16/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-50.00,MISC_DEBIT,5505.28,,
DEBIT,03/16/2026,"AMAZON MKTPL*B56E47Z Amzn.com/bill WA        03/16",-17.31,DEBIT_CARD,5555.28,,
DEBIT,03/16/2026,"ATM WITHDRAWAL                       009431  03/15616 N DEN",-100.00,ATM,5572.59,,
DEBIT,03/16/2026,"COPPELLBIBLE.ORG COPPELLBIBLE. TX            03/15",-1200.00,DEBIT_CARD,5672.59,,
DEBIT,03/16/2026,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",-215.00,ACH_DEBIT,6872.59,,
DEBIT,03/16/2026,"Prime Video *BD2TX6K7 888-802-3080 WA        03/13",-16.23,DEBIT_CARD,7087.59,,
DEBIT,03/16/2026,"LITTLE CAESARS 3619-0 817-808-2437 TX        03/13",-15.16,DEBIT_CARD,7103.82,,
DEBIT,03/16/2026,"AMK JPMC PLANO 2 PLANO TX                    03/13",-15.03,DEBIT_CARD,7118.98,,
DEBIT,03/16/2026,"ANDY'S - COPPELL COPPELL TX                  03/12",-6.92,DEBIT_CARD,7134.01,,
DEBIT,03/13/2026,"QT 1964 OUTSIDE COPPELL TX           269625  03/13",-58.01,DEBIT_CARD,7140.93,,
DEBIT,03/13/2026,"CAPITAL ONE      MOBILE PMT CA07FE8E3B1F95A WEB ID: 9279744380",-2010.36,ACH_DEBIT,7198.94,,
DEBIT,03/13/2026,"Online Transfer to SAV ...6175 transaction#: 28412274013 03/13",-7500.00,ACCT_XFER,9209.30,,
DEBIT,03/13/2026,"PAYPAL           INST XFER  GITHUB INC      WEB ID: PAYPALSI77",-41.57,MISC_DEBIT,16709.30,,
CREDIT,03/13/2026,"MSPBNA           ACH TRNSFR                 PPD ID: 1391321258",7500.00,MISC_CREDIT,16750.87,,
CREDIT,03/13/2026,"JPMORGAN CHASE B PAYROLL DD                 PPD ID: 1134994650",8290.92,ACH_CREDIT,9250.87,,
DEBIT,03/12/2026,"AMERICAN GEN LIF INS_PAYMT  000723699218    WEB ID: 4250598210",-67.97,ACH_DEBIT,959.95,,
DEBIT,03/12/2026,"DD *DOORDASH ASIANPOT 855-973-1040 CA        03/12",-58.71,DEBIT_CARD,1027.92,,
DEBIT,03/12/2026,"AMAZON MKTPL*BP5YW48 Amzn.com/bill WA        03/12",-190.52,DEBIT_CARD,1086.63,,
DEBIT,03/12/2026,"Walmart+ Member 2026 800-925-6278 AR         03/11",-106.09,DEBIT_CARD,1277.15,,
CHECK,03/11/2026,"CHECK 141  03/11",-35.00,CHECK_PAID,1383.24,141,
DEBIT,03/09/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-20.00,MISC_DEBIT,1418.24,,
DEBIT,03/09/2026,"PETCO 2472 LEWISVILLE TX             561297  03/08",-62.77,DEBIT_CARD,1438.24,,
DEBIT,03/09/2026,"LEVY2AAC-CONCESSIONS DALLAS TX               03/06",-31.42,DEBIT_CARD,1501.01,,
DEBIT,03/09/2026,"STUBHUB INC 8667882482 CA                    03/07",-54.28,DEBIT_CARD,1532.43,,
DEBIT,03/06/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-20.00,MISC_DEBIT,1586.71,,
DEBIT,03/05/2026,"BMWFINANCIAL SVS BMWFS PYMT                 PPD ID: 1222568977",-1141.31,ACH_DEBIT,1606.71,,
DEBIT,03/04/2026,"CAPITAL ONE      MOBILE PMT CA0263171C11A6E WEB ID: 9279744380",-194.60,ACH_DEBIT,2748.02,,
DEBIT,03/04/2026,"365 Market J 888 432-32 TROY MI              03/03",-3.24,DEBIT_CARD,2942.62,,
DEBIT,03/03/2026,"CAPITAL ONE      MOBILE PMT CA0F0C401470DEA WEB ID: 9279744380",-1324.97,ACH_DEBIT,2945.86,,
DEBIT,03/02/2026,"MARKET STREET 5 COPPELL TX                   03/02",-12.27,DEBIT_CARD,4270.83,,
DEBIT,03/02/2026,"CAPITAL ONE      MOBILE PMT CA0C05E9EB0F9AE WEB ID: 9279744380",-246.78,ACH_DEBIT,4283.10,,
DEBIT,03/02/2026,"CAPITAL ONE      MOBILE PMT CA0940CE7E7486D WEB ID: 9279744380",-109.04,ACH_DEBIT,4529.88,,
DEBIT,03/02/2026,"PAYPAL           INST XFER  DSW             WEB ID: PAYPALSI77",-91.99,MISC_DEBIT,4638.92,,
DEBIT,03/02/2026,"VENMO            PAYMENT    1048579118233   WEB ID: 3264681992",-182.00,MISC_DEBIT,4730.91,,
DEBIT,03/02/2026,"AMAZON MKTPL*BE7FD64 Amzn.com/bill WA        03/02",-12.87,DEBIT_CARD,4912.91,,
DEBIT,03/02/2026,"AMAZON MKTPL*B97Y78B Amzn.com/bill WA        03/02",-35.43,DEBIT_CARD,4925.78,,
DEBIT,03/02/2026,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",-215.00,ACH_DEBIT,4961.21,,
DEBIT,03/02/2026,"VENMO            PAYMENT    1048563373849   WEB ID: 3264681992",-650.00,MISC_DEBIT,5176.21,,
DEBIT,02/27/2026,"CAPITAL ONE      MOBILE PMT CA023D492BFB321 WEB ID: 9279744380",-1775.93,ACH_DEBIT,5826.21,,
DEBIT,02/27/2026,"Online Transfer to SAV ...6175 transaction#: 28222197028 02/27",-3000.00,ACCT_XFER,7602.14,,
DEBIT,02/27/2026,"FRONTIER SEC WEB CASHMANAGEMEN CT            02/26",-111.50,DEBIT_CARD,10602.14,,
CREDIT,02/27/2026,"PALO ALTO NETWOR PAYROLL                    PPD ID: 9111111101",4024.64,ACH_CREDIT,10713.64,,
CREDIT,02/27/2026,"PALO ALTO NETWOR PAYROLL                    PPD ID: 9111111101",4995.15,ACH_CREDIT,6689.00,,
DEBIT,02/26/2026,"GCISD GCISD.NET TX                           02/25",-6.23,DEBIT_CARD,1693.85,,
DEBIT,02/26/2026,"WM SUPERCENTER #5092 972-315-3398 TX         02/25",-26.43,DEBIT_CARD,1700.08,,
CREDIT,02/26/2026,"Online Transfer from SAV ...6175 transaction#: 28211536271",1000.00,ACCT_XFER,1726.51,,
DEBIT,02/25/2026,"Amazon Kids+*BE5YF0JD 888-802-3080 WA        02/25",-6.39,DEBIT_CARD,726.51,,
DEBIT,02/25/2026,"USAA INSURANCE PAYMEN WWW.USAA.COM TX        02/25",-398.36,DEBIT_CARD,732.90,,
DEBIT,02/25/2026,"365 Market J 888 432-32 TROY MI              02/24",-2.05,DEBIT_CARD,1131.26,,
DEBIT,02/25/2026,"AMK JPMC PLANO 2 PLANO TX                    02/24",-11.46,DEBIT_CARD,1133.31,,
DEBIT,02/24/2026,"WAL-MART #5092 LEWISVILLE TX                 02/23",-41.83,DEBIT_CARD,1144.77,,
DEBIT,02/24/2026,"Prime Video *3B47O7CQ 888-802-3080 WA        02/23",-27.05,DEBIT_CARD,1186.60,,
DEBIT,02/23/2026,"Zelle payment to SIXTOS GUERRERO JPM99c6loo3r",-200.00,CHASE_TO_PARTNERFI,1213.65,,
DEBIT,02/23/2026,"WAL-MART #5092 LEWISVILLE TX                 02/21",-49.22,DEBIT_CARD,1413.65,,
DEBIT,02/23/2026,"365 Market J 888 432-32 TROY MI              02/20",-2.15,DEBIT_CARD,1462.87,,
DEBIT,02/20/2026,"CAPITAL ONE      MOBILE PMT CA02506804E05E3 WEB ID: 9279744380",-75.50,ACH_DEBIT,1465.02,,
DEBIT,02/20/2026,"ATM WITHDRAWAL                       001217  02/20616 N DEN",-200.00,ATM,1540.52,,
DEBIT,02/20/2026,"TOM THUMB #1781 COPPELL TX                   02/19",-45.97,DEBIT_CARD,1740.52,,
DEBIT,02/19/2026,"CAPITAL ONE      MOBILE PMT CA015A87AD5B277 WEB ID: 9279744380",-113.69,ACH_DEBIT,1786.49,,
DEBIT,02/19/2026,"CITY OF COPPELL  WATERBILL                  PPD ID: 1751183207",-106.71,ACH_DEBIT,1900.18,,
DEBIT,02/19/2026,"BARCLAYCARD US   CREDITCARD 1379158578      WEB ID: 2510407970",-314.80,ACH_DEBIT,2006.89,,
DEBIT,02/19/2026,"365 Market J 888 432-32 TROY MI              02/18",-2.05,DEBIT_CARD,2321.69,,
DEBIT,02/18/2026,"CAPITAL ONE      MOBILE PMT CA0BB2D2BBF8336 WEB ID: 9279744380",-1656.89,ACH_DEBIT,2323.74,,
DEBIT,02/18/2026,"JPMorgan Chase   Ext Trnsfr 28065780614     WEB ID: 9200502231",-2919.75,ACH_DEBIT,3980.63,,
DEBIT,02/18/2026,"Prime Video *K69SC0ZG 888-802-3080 WA        02/17",-10.81,DEBIT_CARD,6900.38,,
CREDIT,02/18/2026,"Online Transfer from SAV ...6175 transaction#: 28115987450",2000.00,ACCT_XFER,6911.19,,
DEBIT,02/17/2026,"CAPITAL ONE      MOBILE PMT CA089E363D5A231 WEB ID: 9279744380",-713.00,ACH_DEBIT,4911.19,,
DEBIT,02/17/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-50.00,MISC_DEBIT,5624.19,,
DEBIT,02/17/2026,"CAPITAL ONE      MOBILE PMT CA06CB6FEC5A46A WEB ID: 9279744380",-192.80,ACH_DEBIT,5674.19,,
DEBIT,02/17/2026,"CAPITAL ONE      MOBILE PMT CA0393C071273CF WEB ID: 9279744380",-254.22,ACH_DEBIT,5866.99,,
DEBIT,02/17/2026,"Amazon.com*GL80Y5FW3 Amzn.com/bill WA        02/17",-36.78,DEBIT_CARD,6121.21,,
DEBIT,02/17/2026,"ANDY'S - SAN ANTONIO SAN ANTONIO TX          02/15",-39.00,DEBIT_CARD,6157.99,,
DEBIT,02/17/2026,"SIXFLAGS FT SAN ANTOTX SAN ANTONIO TX        02/15",-18.22,DEBIT_CARD,6196.99,,
DEBIT,02/17/2026,"COCA COLA SAN ANTONIO SAN ANTONIO TX         02/15",-5.50,DEBIT_CARD,6215.21,,
DEBIT,02/17/2026,"Kindle Svcs*6R7GB6FQ3 888-802-3080 WA        02/14",-10.81,DEBIT_CARD,6220.71,,
DEBIT,02/17/2026,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",-215.00,ACH_DEBIT,6231.52,,
DEBIT,02/17/2026,"UT PTS SAG PARKING AUSTIN TX                 02/13",-3.00,DEBIT_CARD,6446.52,,
DEBIT,02/17/2026,"BUC-EE'S #0059 HILLSBORO TX                  02/13",-27.55,DEBIT_CARD,6449.52,,
DEBIT,02/13/2026,"CAPITAL ONE      MOBILE PMT CA085C142EAC82A WEB ID: 9279744380",-129.10,ACH_DEBIT,6477.07,,
CREDIT,02/13/2026,"PALO ALTO NETWOR PAYROLL                    PPD ID: 9111111101",4805.59,ACH_CREDIT,6606.17,,
DEBIT,02/12/2026,"CAPITAL ONE      MOBILE PMT CA0AF4C4B509228 WEB ID: 9279744380",-123.50,ACH_DEBIT,1800.58,,
DEBIT,02/12/2026,"AMERICAN GEN LIF INS_PAYMT  000732687410    WEB ID: 4250598210",-67.97,ACH_DEBIT,1924.08,,
DEBIT,02/11/2026,"CAPITAL ONE      MOBILE PMT CA05FD6B1DCB272 WEB ID: 9279744380",-142.05,ACH_DEBIT,1992.05,,
DEBIT,02/11/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-50.00,MISC_DEBIT,2134.10,,
DEBIT,02/10/2026,"CAPITAL ONE      MOBILE PMT CA09E85CABC4C09 WEB ID: 9279744380",-73.94,ACH_DEBIT,2184.10,,
DEBIT,02/10/2026,"Amazon.com*IC1MC0YW3 Amzn.com/bill WA        02/10",-21.65,DEBIT_CARD,2258.04,,
DEBIT,02/10/2026,"AMAZON MKTPL*YH9AO3M Amzn.com/bill WA        02/10",-18.39,DEBIT_CARD,2279.69,,
DEBIT,02/09/2026,"CAPITAL ONE      MOBILE PMT CA04D8EEBF1E3A1 WEB ID: 9279744380",-199.12,ACH_DEBIT,2298.08,,
DEBIT,02/09/2026,"CAPITAL ONE      MOBILE PMT CA0440ED6DFE934 WEB ID: 9279744380",-527.37,ACH_DEBIT,2497.20,,
DEBIT,02/09/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-20.00,MISC_DEBIT,3024.57,,
DEBIT,02/09/2026,"VENMO            PAYMENT    1048144308313   WEB ID: 3264681992",-35.00,MISC_DEBIT,3044.57,,
DEBIT,02/09/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-50.00,MISC_DEBIT,3079.57,,
DEBIT,02/09/2026,"QT 1964 OUTSIDE COPPELL TX           097162  02/08",-39.20,DEBIT_CARD,3129.57,,
DEBIT,02/09/2026,"SPROUTS FARMERS MKT#10 COPPELL TX    762108  02/08",-12.21,DEBIT_CARD,3168.77,,
DEBIT,02/09/2026,"AMAZON MKTPL*AI13M8T Amzn.com/bill WA        02/08",-24.99,DEBIT_CARD,3180.98,,
DEBIT,02/09/2026,"Medieval Times Irving TX                     02/07",-440.45,DEBIT_CARD,3205.97,,
DEBIT,02/09/2026,"TST* WHITE RHINO COFFEE FORNEY TX            02/08",-4.88,DEBIT_CARD,3646.42,,
DEBIT,02/09/2026,"AMAZON MKTPL*W19994Y Amzn.com/bill WA        02/06",-18.50,DEBIT_CARD,3651.30,,
CREDIT,02/09/2026,"VENMO            CASHOUT                    PPD ID: 5264681992",210.00,MISC_CREDIT,3669.80,,
DEBIT,02/09/2026,"Prime Video Channels amzn.com/bill WA        02/07",20.02,DEBIT_CARD,3459.80,,
DEBIT,02/06/2026,"PAYPAL           INST XFER  QUESTDIAGNO     WEB ID: PAYPALSI77",-5.87,MISC_DEBIT,3439.78,,
DEBIT,02/05/2026,"CAPITAL ONE      MOBILE PMT CA071BB75F3A989 WEB ID: 9279744380",-417.78,ACH_DEBIT,3445.65,,
DEBIT,02/05/2026,"BMWFINANCIAL SVS BMWFS PYMT                 PPD ID: 1222568977",-1141.31,ACH_DEBIT,3863.43,,
DEBIT,02/05/2026,"Prime Video Channels amzn.com/bill WA        02/04",-20.02,DEBIT_CARD,5004.74,,
DEBIT,02/04/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-20.00,MISC_DEBIT,5024.76,,
DEBIT,02/03/2026,"CAPITAL ONE      MOBILE PMT CA0F50B7B9612EC WEB ID: 9279744380",-643.44,ACH_DEBIT,5044.76,,
DEBIT,02/02/2026,"CAPITAL ONE      MOBILE PMT CA046B59BE247F7 WEB ID: 9279744380",-49.84,ACH_DEBIT,5688.20,,
DEBIT,02/02/2026,"Kindle Svcs*UZ9TV35Z3 888-802-3080 WA        02/02",-2.15,DEBIT_CARD,5738.04,,
DEBIT,02/02/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-50.00,MISC_DEBIT,5740.19,,
DEBIT,02/02/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-20.00,MISC_DEBIT,5790.19,,
DEBIT,02/02/2026,"WALGREENS STORE 313 N COPPELL TX     849644  01/31",-7.00,DEBIT_CARD,5810.19,,
DEBIT,02/02/2026,"PY *HTEAO LEWISVILLE LEWISVILLE TX           01/31",-21.08,DEBIT_CARD,5817.19,,
DEBIT,02/02/2026,"AMAZON MKTPL*K61V08O Amzn.com/bill WA        01/31",-9.73,DEBIT_CARD,5838.27,,
DEBIT,01/30/2026,"CAPITAL ONE      MOBILE PMT CA03B8E0ED2F818 WEB ID: 9279744380",-1391.14,ACH_DEBIT,5848.00,,
DEBIT,01/30/2026,"COPPELLBIBLE.ORG COPPELLBIBLE. TX            01/30",-1000.00,DEBIT_CARD,7239.14,,
DEBIT,01/30/2026,"Online Transfer to SAV ...6175 transaction#: 27875523157 01/30",-2000.00,ACCT_XFER,8239.14,,
DEBIT,01/30/2026,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",-215.00,ACH_DEBIT,10239.14,,
DEBIT,01/30/2026,"AMC 0175 GRAPEVINE 30 GRAPEVINE TX           01/29",-28.99,DEBIT_CARD,10454.14,,
DEBIT,01/30/2026,"365 Market J 888 432-32 TROY MI              01/29",-2.15,DEBIT_CARD,10483.13,,
DEBIT,01/30/2026,"AMAZON MKTPL*5N9VA2Q Amzn.com/bill WA        01/29",-32.48,DEBIT_CARD,10485.28,,
DEBIT,01/30/2026,"Amazon.com*I764F7953 Amzn.com/bill WA        01/29",-56.28,DEBIT_CARD,10517.76,,
CREDIT,01/30/2026,"Online Transfer from SAV ...6175 transaction#: 27875521739",1000.00,ACCT_XFER,10574.04,,
CREDIT,01/30/2026,"PALO ALTO NETWOR PAYROLL                    PPD ID: 9111111101",4024.64,ACH_CREDIT,9574.04,,
CREDIT,01/30/2026,"PALO ALTO NETWOR PAYROLL                    PPD ID: 9111111101",4805.58,ACH_CREDIT,5549.40,,
DEBIT,01/29/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-20.00,MISC_DEBIT,743.82,,
DEBIT,01/27/2026,"FRONTIER SEC WEB CASHMANAGEMEN CT            01/26",-111.50,DEBIT_CARD,763.82,,
DEBIT,01/26/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-20.00,MISC_DEBIT,875.32,,
DEBIT,01/26/2026,"Amazon Kids+*NU3D92KF 888-802-3080 WA        01/25",-6.39,DEBIT_CARD,895.32,,
DEBIT,01/26/2026,"USAA INSURANCE PAYMEN WWW.USAA.COM TX        01/25",-376.94,DEBIT_CARD,901.71,,
DEBIT,01/26/2026,"Prime Video *V35QE2PA 888-802-3080 WA        01/24",-5.40,DEBIT_CARD,1278.65,,
DEBIT,01/26/2026,"Prime Video *B38OH1SX 888-802-3080 WA        01/24",-8.65,DEBIT_CARD,1284.05,,
DEBIT,01/23/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-20.00,MISC_DEBIT,1292.70,,
DEBIT,01/21/2026,"CAPITAL ONE      MOBILE PMT CA09777E586D654 WEB ID: 9279744380",-255.65,ACH_DEBIT,1312.70,,
DEBIT,01/21/2026,"CITY OF COPPELL  WATERBILL                  PPD ID: 1751183207",-96.98,ACH_DEBIT,1568.35,,
DEBIT,01/21/2026,"AMAZON MKTPL*AZ1NS6Q Amzn.com/bill WA        01/20",-32.46,DEBIT_CARD,1665.33,,
DEBIT,01/20/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-10.00,MISC_DEBIT,1697.79,,
DEBIT,01/20/2026,"GREENLIGHT       APP        GREENLIGHT      WEB ID: PYMNT00001",-20.00,MISC_DEBIT,1707.79,,
DEBIT,01/20/2026,"CAPITAL ONE      MOBILE PMT CA01495B80CF372 WEB ID: 9279744380",-804.45,ACH_DEBIT,1727.79,,
DEBIT,01/20/2026,"Prime Video *R11QX0DP 888-802-3080 WA        01/18",-14.06,DEBIT_CARD,2532.24,,
DEBIT,01/20/2026,"Zelle payment to Hugo Guerrero JPM99c2e0w84",-200.00,CHASE_TO_PARTNERFI,2546.30,,
DEBIT,01/20/2026,"JPMorgan Chase   Ext Trnsfr 27702469746     WEB ID: 9200502231",-2919.75,ACH_DEBIT,2746.30,,
CREDIT,01/20/2026,"Online Transfer from SAV ...6175 transaction#: 27754336282",1000.00,ACCT_XFER,5666.05,,
DEBIT,01/16/2026,"Amazon.com*H23T08863 Amzn.com/bill WA        01/16",-14.06,DEBIT_CARD,4666.05,,
DEBIT,01/16/2026,"ANDY'S - COPPELL COPPELL TX                  01/14",-6.92,DEBIT_CARD,4680.11,,
DEBIT,01/15/2026,"AMAZON PRIME*5T1OM52 Amzn.com/bill WA        01/15",-150.47,DEBIT_CARD,4687.03,,
DEBIT,01/15/2026,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",-215.00,ACH_DEBIT,4837.50,,
DEBIT,01/15/2026,"BARCLAYCARD US   CREDITCARD 1365168114      WEB ID: 2510407970",-1298.24,ACH_DEBIT,5052.50,,
DEBIT,01/15/2026,"Amazon.com*Y51UY9NN3 Amzn.com/bill WA        01/15",-23.80,DEBIT_CARD,6350.74,,
DEBIT,01/15/2026,"QT 1964 INSIDE COPPELL TX                    01/14",-10.36,DEBIT_CARD,6374.54,,
DEBIT,01/15/2026,"AMAZON MKTPL*CW3Z15R Amzn.com/bill WA        01/14",-63.32,DEBIT_CARD,6384.90,,
CREDIT,01/15/2026,"PALO ALTO NETWOR PAYROLL                    PPD ID: 9111111101",4779.38,ACH_CREDIT,6448.22,,
DEBIT,01/14/2026,"CAPITAL ONE      MOBILE PMT CA0A3F8305FC4A0 WEB ID: 9279744380",-132.68,ACH_DEBIT,1668.84,,
DEBIT,01/14/2026,"AMERICAN GEN LIF INS_PAYMT  000751688654    WEB ID: 4250598210",-67.97,ACH_DEBIT,1801.52,,
DEBIT,01/14/2026,"Amazon.com*FU1FR3DO3 Amzn.com/bill WA        01/14",-16.13,DEBIT_CARD,1869.49,,
CREDIT,01/14/2026,"Online Transfer from SAV ...6175 transaction#: 27697367183",1200.00,ACCT_XFER,1885.62,,
DEBIT,01/13/2026,"CAPITAL ONE      MOBILE PMT CA070004F58F688 WEB ID: 9279744380",-714.40,ACH_DEBIT,685.62,,
CREDIT,01/13/2026,"Online Transfer from SAV ...6175 transaction#: 27683276138",400.00,ACCT_XFER,1400.02,,
DEBIT,01/12/2026,"CAPITAL ONE      MOBILE PMT CA0C315B64D3271 WEB ID: 9279744380",-1920.04,ACH_DEBIT,1000.02,,
DEBIT,01/12/2026,"VENMO            PAYMENT    1047553805879   WEB ID: 3264681992",-587.00,MISC_DEBIT,2920.06,,
DEBIT,01/12/2026,"AMAZON MKTPL*IZ46S8T Amzn.com/bill WA        01/10",-37.88,DEBIT_CARD,3507.06,,
DEBIT,01/12/2026,"WM SUPERCENTER #5092 LEWISVILLE TX           01/10",-154.34,DEBIT_CARD,3544.94,,
CREDIT,01/12/2026,"VENMO            CASHOUT                    PPD ID: 5264681992",120.00,MISC_CREDIT,3699.28,,
CREDIT,01/12/2026,"Online Transfer from SAV ...6175 transaction#: 27670031296",500.00,ACCT_XFER,3579.28,,
CREDIT,01/12/2026,"Online Transfer from SAV ...6175 transaction#: 27670011373",1000.00,ACCT_XFER,3079.28,,
CREDIT,01/12/2026,"Online Transfer from SAV ...6175 transaction#: 27666291698",1000.00,ACCT_XFER,2079.28,,
